Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
352,Ha-Seong Kim,27,SDP,NL,152,626,538,84,140,23,0,17,60,38,9,75,124,0.26,0.351,0.398,0.749,110,214,7,3,5,5,1,456/HD,kimha01
353,Isiah Kiner-Falefa,28,NYY,AL,113,361,326,39,79,12,1,6,37,14,5,28,70,0.242,0.306,0.34,0.646,78,111,12,3,1,3,0,875H/9146,kineris01
354,John King*,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,kingjo01
355,Alex Kirilloff*,25,MIN,AL,88,319,281,35,76,14,1,11,41,1,0,28,80,0.27,0.348,0.445,0.793,117,125,2,7,0,3,1,3H97/D,kirilal01
356,Alejandro Kirk,24,TOR,AL,123,422,372,34,93,16,0,8,43,0,0,42,45,0.25,0.334,0.358,0.692,93,133,21,6,0,2,1,2HD,kirkal01
357,Heston Kjerstad*,24,BAL,AL,13,33,30,3,7,1,0,2,3,0,0,2,10,0.233,0.281,0.467,0.748,106,14,0,0,0,0,0,/DH79,kjershe01
358,Andrew Knizner,28,STL,NL,70,241,224,30,54,11,0,10,31,2,0,12,62,0.241,0.288,0.424,0.712,92,95,8,3,1,1,0,2/H3D,kniznan01
359,Taylor Kohlwey*,28,SDP,NL,5,13,13,0,2,0,0,0,0,0,0,0,5,0.154,0.154,0.154,0.308,-13,2,0,0,0,0,0,/7DH9,kohlwta01
360,Mark Kolozsvary,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/2,kolozma01
361,Ryan Kreidler,25,DET,AL,11,18,18,2,2,0,0,0,0,0,0,0,7,0.111,0.111,0.111,0.222,-38,2,0,0,0,0,0,/456DH,kreidry01
362,Steven Kwan*,25,CLE,AL,158,718,638,93,171,36,7,5,54,21,3,70,75,0.268,0.34,0.37,0.71,100,236,9,3,1,6,2,*7/DH,kwanst01
363,Tommy La Stella*,34,SEA,AL,12,24,21,2,4,1,0,0,2,0,0,3,5,0.19,0.292,0.238,0.53,53,5,0,0,0,0,0,/DH,lasteto01
364,Jake Lamb*,32,LAA,AL,18,54,51,7,11,1,0,2,5,0,0,3,15,0.216,0.259,0.353,0.612,65,18,1,0,0,0,0,3/H1,lambja01
365,Alex Lange,27,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,langeal01
366,Shea Langeliers,25,OAK,AL,135,490,448,52,92,19,4,22,63,3,2,34,143,0.205,0.268,0.413,0.681,92,185,10,5,1,2,2,*2/DH,langesh01
367,Trevor Larnach*,26,MIN,AL,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,98,76,2,0,0,2,1,79/HD,larnatr01
368,Ramón Laureano,28,TOT,AL,105,404,361,46,81,18,4,9,35,12,1,33,114,0.224,0.304,0.371,0.676,91,134,9,9,0,1,0,98/HD,laurera01
369,Derek Law,32,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,lawde01
370,Jordan Lawlar,20,ARI,NL,14,34,31,2,4,0,0,0,0,1,1,2,11,0.129,0.206,0.129,0.335,-5,4,0,1,0,0,0,6/H,lawlajo01
371,Justin Lawrence,28,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,lawreju01
372,Korey Lee,24,CHW,AL,24,70,65,4,5,1,0,1,3,0,0,5,20,0.077,0.143,0.138,0.281,-22,9,0,0,0,0,0,2/DH,leeko01
373,Mark Leiter Jr.,32,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,leitema02
374,DJ LeMahieu,34,NYY,AL,136,562,497,55,121,22,3,15,44,2,2,60,125,0.243,0.327,0.39,0.718,96,194,14,3,0,2,2,53/4HD,lemahdj01
375,Sandy León#,34,TEX,AL,21,44,41,4,6,2,0,0,4,0,0,1,20,0.146,0.186,0.195,0.381,4,8,2,1,1,0,0,2/1H,leonsa01
376,Josh Lester*,28,BAL,AL,11,23,22,0,4,0,0,0,4,0,0,1,7,0.182,0.217,0.182,0.399,15,4,1,0,0,0,0,/3HD519,lestejo02
377,Kyle Lewis,27,ARI,NL,16,54,51,2,8,2,0,1,2,0,0,3,21,0.157,0.204,0.255,0.459,25,13,0,0,0,0,0,D/H7,lewisky01
378,Royce Lewis,24,MIN,AL,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,150,119,5,2,0,0,0,5/DH6,lewisro02
379,Francisco Lindor#,29,NYM,NL,160,687,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.47,0.806,120,283,8,12,0,7,1,*6/DH,lindofr01
380,Andre Lipcius,25,DET,AL,13,38,35,3,10,1,0,1,4,0,0,3,8,0.286,0.342,0.4,0.742,103,14,1,0,0,0,0,5/HD,lipcian01
381,Luke Little*,22,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,littllu01
382,Tim Locastro,30,NYM,NL,43,67,56,13,13,3,0,2,3,6,0,3,22,0.232,0.338,0.393,0.731,102,22,0,6,2,0,0,7H/8D9,locasti01
383,Nick Loftin,24,KCR,AL,19,68,62,10,20,5,1,0,10,2,0,4,12,0.323,0.368,0.435,0.803,121,27,0,1,0,1,0,/345DH,loftini01
384,Evan Longoria,37,ARI,NL,74,237,211,25,47,9,0,11,28,0,0,23,73,0.223,0.295,0.422,0.717,93,89,8,0,0,3,0,5DH,longoev01
385,Alejo Lopez#,27,CIN,NL,1,2,2,1,1,1,0,0,1,0,0,0,1,0.5,0.5,1,1.5,290,2,0,0,0,0,0,/4,lopezal03
386,Irving Lopez*,28,STL,NL,5,12,11,0,0,0,0,0,1,0,0,0,5,0,0,0,0,-100,0,0,0,0,1,0,/54H,lopezir01
387,Nicky Lopez*,28,TOT,MLB,93,262,225,32,52,8,3,1,25,6,2,26,40,0.231,0.326,0.307,0.632,75,69,3,6,4,1,0,45H6/371D,lopezni01
388,Brandon Lowe*,28,TBR,AL,109,436,377,58,87,15,1,21,68,7,0,50,119,0.231,0.328,0.443,0.771,113,167,8,6,0,3,0,4/HD,lowebr01
389,Josh Lowe*,25,TBR,AL,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.5,0.835,129,233,6,1,0,3,2,9DH8/7,lowejo01
390,Nathaniel Lowe*,27,TEX,AL,161,724,623,89,163,38,3,17,82,1,0,93,165,0.262,0.36,0.414,0.775,111,258,22,5,0,3,2,*3,lowena01
391,Marco Luciano,21,SFG,NL,14,45,39,4,9,3,0,0,0,1,0,6,17,0.231,0.333,0.308,0.641,80,12,0,0,0,0,0,6/D,luciama01
392,Nathan Lukes*,28,TOR,AL,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.29,0.308,0.598,67,8,1,0,0,1,0,9H/D78,lukesna01
393,Jordan Luplow,29,TOT,AL,39,90,77,11,16,3,0,2,5,2,0,12,27,0.208,0.322,0.325,0.647,80,25,1,1,0,0,1,7H/9D381,luplojo01
394,Manny Machado,30,SDP,NL,138,601,543,75,140,21,0,30,91,3,2,50,109,0.258,0.319,0.462,0.782,115,251,20,2,0,6,1,5D,machama01
395,Nick Madrigal,26,CHC,NL,92,294,270,34,71,16,1,2,28,10,2,10,24,0.263,0.311,0.352,0.663,79,95,3,9,5,0,0,5H4/D,madrini01
396,Bligh Madris*,27,HOU,AL,12,30,26,4,4,1,0,0,0,0,0,4,7,0.154,0.267,0.192,0.459,31,5,0,0,0,0,0,/HD371,madribl01
397,Drew Maggi,34,PIT,NL,3,6,6,1,2,1,0,0,1,0,0,0,1,0.333,0.333,0.5,0.833,124,3,0,0,0,0,0,/5HD,maggidr01
398,Luke Maile,32,CIN,NL,74,199,179,17,42,10,0,6,25,2,1,14,49,0.235,0.308,0.391,0.699,87,70,8,5,1,0,0,2/1HD,mailelu01
399,Martín Maldonado,36,HOU,AL,116,407,362,33,69,12,0,15,36,0,0,30,139,0.191,0.258,0.348,0.606,66,126,10,3,12,0,0,*2/1,maldoma01
400,Trey Mancini,31,CHC,NL,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,71,79,5,2,0,3,1,3DH/9,mancitr01
401,Tucupita Marcano*,23,PIT,NL,75,220,202,16,47,12,2,3,18,5,2,10,35,0.233,0.276,0.356,0.633,72,72,2,3,3,2,0,64H/5D,marcatu01
402,Manuel Margot,28,TBR,AL,99,336,311,39,82,21,1,4,38,9,3,18,55,0.264,0.31,0.376,0.686,91,117,6,4,0,3,0,89H,margoma01
403,Jake Marisnick,32,TOT,MLB,46,83,76,10,18,3,2,2,10,2,3,3,21,0.237,0.28,0.408,0.688,86,31,4,2,1,1,0,8/H9D,marisja01
404,Cade Marlowe*,26,SEA,AL,34,100,88,14,21,3,2,3,11,4,2,12,33,0.239,0.33,0.42,0.75,111,37,1,0,0,0,0,7/H8D9,marloca01
405,Brandon Marsh*,25,PHI,NL,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2,*87H/9D,marshbr02
406,Ketel Marte#,29,ARI,NL,150,650,569,94,157,26,9,25,82,8,2,71,109,0.276,0.358,0.485,0.844,128,276,16,5,0,5,2,*4/DH86,marteke01
407,Noelvi Marte,21,CIN,NL,35,123,114,15,36,7,0,3,15,6,2,8,25,0.316,0.366,0.456,0.822,120,52,1,1,0,0,0,5/6HD4,marteno01
408,Starling Marte,34,NYM,NL,86,341,315,38,78,7,1,5,28,24,4,16,69,0.248,0.301,0.324,0.625,73,102,8,8,2,0,1,9/H8,martest01
409,Chris Martin,37,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,martich02
410,J.D. Martinez,35,LAD,NL,113,479,432,61,117,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,134,247,11,2,0,9,1,*D/7H,martijd02
411,J.P. Martínez*,27,TEX,AL,17,44,40,7,9,1,0,1,4,0,0,2,16,0.225,0.25,0.325,0.575,55,13,0,0,0,2,0,/H79D8,martijp01
412,Seth Martinez,28,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,martise01
413,Nick Martini*,33,CIN,NL,29,79,72,10,19,3,1,6,16,0,0,5,15,0.264,0.329,0.583,0.912,139,42,1,2,0,0,0,7HD/39,martini02
414,Michael Massey*,25,KCR,AL,129,461,428,42,98,18,1,15,55,6,2,24,99,0.229,0.274,0.381,0.655,78,163,3,4,1,4,0,*4H/D,massemi02
415,Miles Mastrobuoni*,27,CHC,NL,60,149,133,24,32,5,0,1,5,13,1,13,32,0.241,0.308,0.301,0.609,65,40,1,0,3,0,0,5H/4D9671,mastrmi01
416,Jorge Mateo,28,BAL,AL,116,350,318,58,69,14,2,7,34,32,5,22,82,0.217,0.267,0.34,0.607,70,108,8,1,5,3,0,*6H/8D,mateojo01
417,Mark Mathias,28,TOT,NL,27,72,62,6,14,2,0,0,6,3,0,10,15,0.226,0.333,0.258,0.591,66,16,4,0,0,0,0,4/HD9,mathima01
418,Nick Maton*,26,DET,AL,93,293,249,29,43,9,0,8,32,1,2,38,73,0.173,0.288,0.305,0.593,63,76,4,3,1,2,1,54HD/6,matonni01
419,Phil Maton,30,HOU,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,matonph01
420,Luis Matos,21,SFG,NL,76,253,228,24,57,13,1,2,14,3,0,20,33,0.25,0.319,0.342,0.661,84,78,3,3,2,0,0,897/HD,matoslu02
421,Ronny Mauricio#,22,NYM,NL,26,108,101,11,25,4,0,2,9,7,0,7,31,0.248,0.296,0.347,0.643,77,35,2,0,0,0,0,Apr-56,mauriro01
422,Tim Mayza*,31,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mayzati01
423,James McArthur,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mcartja01
424,James McCann,33,BAL,AL,69,226,207,25,46,14,0,6,26,3,1,9,57,0.222,0.269,0.377,0.646,79,78,5,5,3,2,0,2/DH31,mccanja02
425,Jake McCarthy*,25,ARI,NL,99,312,276,37,67,7,5,2,16,26,4,26,62,0.243,0.318,0.326,0.644,77,90,4,5,4,1,0,9H8/D,mccarja02
426,Chas McCormick,28,HOU,AL,115,457,403,59,110,17,2,22,70,19,6,40,117,0.273,0.353,0.489,0.842,130,197,3,11,1,2,0,*789/DH,mccorch01
427,Mason McCoy,28,TOR,AL,6,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/6H,mccoyma01
428,Andrew McCutchen,36,PIT,NL,112,473,390,55,100,19,0,12,43,11,3,75,100,0.256,0.378,0.397,0.776,113,155,8,4,0,4,1,D/H9,mccutan01
429,Scott McGough,33,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,mcgousc01
430,Reese McGuire*,28,BOS,AL,72,206,187,15,50,12,1,1,16,2,1,11,53,0.267,0.31,0.358,0.668,80,67,2,1,2,1,0,2H/D,mcguire01
431,Ryan McKenna,26,BAL,AL,88,139,122,23,31,7,0,2,18,5,0,9,40,0.254,0.316,0.361,0.677,91,44,4,3,3,2,0,98H7/D1,mckenry01
432,Billy McKinney*,28,NYY,AL,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.32,0.406,0.726,98,52,1,1,0,1,1,79/8H3,mckinbi01
433,Zach McKinstry*,28,DET,AL,148,518,464,60,107,21,4,9,35,16,6,44,113,0.231,0.302,0.351,0.654,79,163,3,5,2,3,0,549H67/8D1,mckinza01
434,Matt McLain,23,CIN,NL,89,403,365,65,106,23,4,16,50,14,5,31,115,0.29,0.357,0.507,0.864,129,185,5,7,0,0,0,64/DH,mclaima01
435,Ryan McMahon*,28,COL,NL,152,627,555,80,133,31,3,23,70,5,5,68,198,0.24,0.322,0.431,0.753,93,239,19,1,0,3,2,*54/HD,mcmahry01
436,Jeff McNeil*,31,NYM,NL,156,648,585,75,158,25,4,10,55,10,0,39,65,0.27,0.333,0.378,0.711,96,221,5,18,3,3,0,497/H836,mcneije01
437,Curtis Mead,22,TBR,AL,24,92,83,12,21,3,1,1,5,0,0,7,21,0.253,0.326,0.349,0.675,89,29,3,2,0,0,0,5/4DH6,meadcu01
438,Austin Meadows*,28,DET,AL,6,21,21,0,5,1,0,0,2,0,0,0,3,0.238,0.238,0.286,0.524,43,6,0,0,0,0,0,/7H9,meadoau01
439,Parker Meadows*,23,DET,AL,37,145,125,19,30,4,2,3,13,8,1,17,37,0.24,0.338,0.376,0.714,96,47,0,2,0,1,1,8/DH,meadopa01
440,Wade Meckler*,23,SFG,NL,20,64,56,6,13,1,0,0,4,0,0,6,25,0.232,0.328,0.25,0.578,64,14,0,2,0,0,0,8/H7,mecklwa01
441,Francisco Mejía#,27,TBR,AL,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.4,0.658,80,60,2,1,1,2,0,2/H,mejiafr01
442,MJ Melendez*,24,KCR,AL,148,602,533,65,125,29,5,16,56,6,4,62,170,0.235,0.316,0.398,0.713,95,212,4,3,0,4,2,*97D2/H3,melenmj01
443,Danny Mendick,29,NYM,NL,33,69,65,4,12,3,0,1,4,1,0,4,15,0.185,0.232,0.277,0.509,40,18,1,0,0,0,0,4/5H7D1,mendida01
444,Joey Meneses,31,WSN,NL,154,657,611,71,168,36,1,13,89,0,0,38,130,0.275,0.321,0.401,0.722,99,245,15,5,0,3,0,*D3/H9,menesjo01
445,Óscar Mercado,28,STL,NL,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,90,12,0,0,0,0,0,/978DH,mercaos01
446,Whit Merrifield,34,TOR,AL,145,592,547,66,149,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,94,209,15,3,0,6,2,47/H9,merriwh01
447,Julian Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,merryju01
448,Matt Mervis*,25,CHC,NL,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,43,26,1,1,0,0,0,3/H,mervima01
449,Jake Meyers,27,HOU,AL,112,341,309,42,70,16,1,10,33,5,2,26,88,0.227,0.296,0.382,0.678,86,118,2,5,0,1,0,8H/7D,meyerja02
450,Drew Millas#,25,WSN,NL,11,33,28,1,8,2,0,1,6,0,0,4,5,0.286,0.375,0.464,0.839,131,13,2,0,1,0,0,2/H,milladr01
451,Brad Miller*,33,TEX,AL,27,67,56,8,12,4,0,1,6,0,0,10,11,0.214,0.328,0.339,0.668,83,19,1,0,0,1,0,D/H351,millebr02
452,Owen Miller,26,MIL,NL,90,314,291,29,76,17,0,5,27,13,2,17,61,0.261,0.303,0.371,0.674,84,108,6,2,0,4,1,435H/7D9,milleow01
453,Shelby Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1,millesh01
454,Jose Miranda,25,MIN,AL,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,56,43,8,1,0,0,0,5/D3H,miranjo01
455,Calvin Mitchell*,24,PIT,NL,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-38,0,0,0,0,0,0,/H9,mitchca01
456,Garrett Mitchell*,24,MIL,NL,19,73,65,10,16,2,1,3,7,1,1,7,26,0.246,0.315,0.446,0.761,106,29,0,0,0,1,0,8/H,mitchga01
457,Andruw Monasterio,26,MIL,NL,92,315,282,38,73,14,1,3,27,7,2,28,66,0.259,0.33,0.348,0.678,87,98,9,3,0,2,0,54/HD6,monasan01
458,Yoán Moncada#,28,CHW,AL,92,357,334,39,87,20,1,11,40,1,0,20,107,0.26,0.305,0.425,0.73,97,142,6,2,0,1,0,5/H,moncayo01
459,Mickey Moniak*,25,LAA,AL,85,323,311,35,87,21,2,14,45,6,3,9,113,0.28,0.307,0.495,0.802,113,154,4,3,0,0,1,897/H,moniami01
460,Elehuris Montero,24,COL,NL,85,307,284,40,69,15,2,11,39,0,0,15,111,0.243,0.29,0.426,0.716,82,121,5,5,0,3,0,3D5/H,monteel01
461,Rafael Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,montera01
462,Coco Montes,26,COL,NL,18,41,38,3,7,2,0,1,3,0,0,2,12,0.184,0.244,0.316,0.56,44,12,0,1,0,0,0,4/5H6,monteco01
463,Dylan Moore,30,SEA,AL,67,165,145,18,30,9,1,7,19,7,3,16,56,0.207,0.303,0.428,0.731,104,62,1,4,0,0,0,H47/6D9385,mooredy01
464,Jovani Moran*,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,moranjo01
465,Christopher Morel,24,CHC,NL,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,116,197,7,2,1,2,0,D48/795H6,morelch01
466,Gabriel Moreno,23,ARI,NL,111,380,341,33,97,19,1,7,50,6,2,29,75,0.284,0.339,0.408,0.747,104,139,17,3,0,7,0,2H/D,morenga01
467,Taylor Motter,33,STL,NL,29,82,76,3,13,3,0,0,2,0,0,5,31,0.171,0.232,0.211,0.442,23,16,0,1,0,0,0,45/H63D9,motteta01
468,Ryan Mountcastle,26,BAL,AL,115,470,423,64,114,21,1,18,68,3,1,37,107,0.27,0.328,0.452,0.779,117,191,13,3,0,7,1,3D/H,mountry01
469,Mike Moustakas*,34,TOT,MLB,112,386,352,43,87,15,0,12,48,0,0,23,95,0.247,0.293,0.392,0.685,81,138,7,3,0,8,1,53HD,moustmi01
470,Cedric Mullins*,28,BAL,AL,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101,168,6,1,3,4,1,*8/HD,mullice01
471,Max Muncy*,32,LAD,NL,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115,229,8,6,0,6,4,*5D/H,muncyma01
472,Andrés Muñoz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,munozan01
473,Penn Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,murfepe01
474,Sean Murphy,28,ATL,NL,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0,2/DH,murphse01
475,Tom Murphy,32,SEA,AL,47,159,145,19,42,12,0,8,17,0,0,10,44,0.29,0.335,0.538,0.873,142,78,4,1,0,2,0,2/DH,murphto04
476,Dane Myers,27,MIA,NL,22,70,67,9,18,3,0,1,9,1,1,2,19,0.269,0.286,0.358,0.644,74,24,1,0,0,1,0,8/D7H,myersda01
477,Wil Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,46,36,3,0,1,1,0,93/DH,myerswi01
478,James Naile,30,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,naileja01
479,Tyler Naquin*,32,CHW,AL,5,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,0,0,0,0,0,/7H9,naquity01
480,Andrew Nardi*,24,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nardian01
481,Omar Narváez*,31,NYM,NL,49,146,128,12,27,5,0,2,7,0,0,14,27,0.211,0.283,0.297,0.58,61,38,1,0,1,3,0,2/H,narvaom01
482,Bo Naylor*,23,CLE,AL,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.47,0.809,124,93,2,1,0,1,1,2/H,naylobo01
483,Josh Naylor*,26,CLE,AL,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,133,221,11,3,0,7,9,3D/H9,naylojo01
484,Kyle Nelson*,26,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nelsoky01
485,Hector Neris,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,nerishe01
486,Zach Neto,22,LAA,AL,84,329,289,38,65,17,0,9,34,5,1,20,77,0.225,0.308,0.377,0.685,86,109,5,16,1,3,0,6/H,netoza01
487,Tyler Nevin,26,DET,AL,41,111,95,11,19,3,1,2,10,0,1,12,25,0.2,0.306,0.316,0.622,72,30,1,3,0,1,0,5HD/379,nevinty01
488,Kevin Newman,29,CIN,NL,74,253,225,28,57,16,0,3,28,8,1,17,34,0.253,0.311,0.364,0.675,81,82,7,4,2,5,0,564H/3D,newmake01
489,Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-22,7,2,0,2,1,0,2/H,nidoto01
490,Brandon Nimmo*,30,NYM,NL,152,682,592,89,162,30,6,24,68,3,3,74,146,0.274,0.363,0.466,0.829,127,276,6,11,1,4,0,*87/DH,nimmobr01
491,Ryan Noda*,27,OAK,AL,128,495,406,63,93,22,1,16,54,3,1,77,170,0.229,0.364,0.406,0.77,121,165,4,10,0,2,1,*3H/D97,nodary01
492,Austin Nola,33,SDP,NL,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.26,0.192,0.452,30,25,5,2,4,0,0,2/H,nolaau01
493,Lars Nootbaar*,25,STL,NL,117,503,426,74,111,23,1,14,46,11,1,72,99,0.261,0.367,0.418,0.784,115,178,7,1,1,3,2,*897/HD,nootbla01
494,Ryan O'Hearn*,29,BAL,AL,112,368,346,48,100,22,1,14,60,5,1,15,82,0.289,0.322,0.48,0.801,122,166,2,3,1,3,2,39HD/7,ohearry01
495,Logan O'Hoppe,23,LAA,AL,51,199,182,23,43,6,0,14,29,0,1,14,48,0.236,0.296,0.5,0.796,111,91,4,2,0,1,0,2/DH,ohopplo01
496,Brian O'Keefe,29,SEA,AL,8,21,19,0,2,2,0,0,2,0,0,2,7,0.105,0.19,0.211,0.401,14,4,2,0,0,0,0,/2H,okeefbr01
497,Tyler O'Neill,28,STL,NL,72,266,238,27,55,14,0,9,21,5,0,28,67,0.231,0.312,0.403,0.715,94,96,5,0,0,0,0,78/HD,oneilty01
498,Rougned Odor*,29,SDP,NL,59,157,138,21,28,9,0,4,18,2,1,17,37,0.203,0.299,0.355,0.654,83,49,2,2,0,0,0,4H/5D93,odorro01
499,Shohei Ohtani*,28,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325,9,3,0,3,21,*D1,ohtansh01
500,Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,/2,okeych01
501,Edward Olivares,27,KCR,AL,107,385,354,47,93,23,4,12,36,11,5,22,64,0.263,0.317,0.452,0.769,109,160,7,7,0,2,1,7DH/98,olivaed02
502,Matt Olson*,29,ATL,NL,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8,*3,olsonma02
503,Jonathan Ornelas,23,TEX,AL,8,8,7,2,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,12,1,0,1,0,0,0,/65H,orneljo01
504,Rafael Ortega*,32,NYM,NL,47,136,114,16,25,3,0,1,8,6,1,20,33,0.219,0.341,0.272,0.613,73,31,0,1,1,0,0,87/H9D,ortegra01
505,Joey Ortiz,24,BAL,AL,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,8,2,0,0,1,0,/45H6,ortizjo06
506,James Outman*,26,LAD,NL,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.79,112,211,4,12,0,4,1,*87/H9D,outmaja01
507,Chris Owings,31,PIT,NL,10,25,25,0,4,0,0,0,0,0,0,0,12,0.16,0.16,0.16,0.32,-12,4,1,0,0,0,0,Jun-81,owingch01
508,Marcell Ozuna,32,ATL,NL,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1,*D/7H,ozunama01
509,Cristian Pache,24,PHI,NL,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,35,1,0,1,0,0,78H/9D,pachecr01
510,Kevin Padlo,26,LAA,AL,3,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,-2,2,1,0,0,0,0,/35,padloke01
511,Emilio Pagán*,32,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,paganem01
512,Joshua Palacios*,27,PIT,NL,91,264,247,26,59,9,2,10,40,5,0,12,56,0.239,0.279,0.413,0.692,86,102,7,2,2,1,0,9H78/D,palacjo01
513,Richie Palacios*,26,STL,NL,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,120,48,1,1,1,1,0,7/8HD94,palacri01
514,Isaac Paredes,24,TBR,AL,143,571,492,71,123,24,0,31,98,1,0,58,104,0.25,0.352,0.488,0.84,131,240,11,20,0,1,0,*534/HD6,paredis01
515,Kyren Paris,21,LAA,AL,15,46,40,4,4,0,0,0,1,3,0,4,17,0.1,0.2,0.1,0.3,-14,4,0,1,1,0,0,/648HD,parisky01
